video_date,video_title,video_url,timestamp_start,timestamp_end,timestamp_url,ticker,ticker_raw,company,event_type,action_inferred,confidence_rule_based,quote_segment,context_window,use_for_demo_portfolio,manual_verification_needed
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,05:53,06:05,https://www.youtube.com/watch?v=YkukejOFevY&t=353s,AAPL,AAPL,Apple,holding_update,hold_or_portfolio_holding,0.65,Microsoft Google and apple are both,of the biggest gainers have gone down like Salesforce which is down 52% Microsoft Google and apple are both holding up rather well with apple actually in the green over the past week,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,00:15,00:28,https://www.youtube.com/watch?v=YkukejOFevY&t=15s,AMZN,AMZN,Amazon,sell_or_reduce,sell_or_reduce,0.75,selling off some companies like Amazon,conference the markets tanked right across the board nearly every company selling off some companies like Amazon were down 45% cuz not only did drone pal cut interest rates like he was expected,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,20:16,20:29,https://www.youtube.com/watch?v=YkukejOFevY&t=1216s,AMZN,AMZN,Amazon,holding_update,hold_or_portfolio_holding,0.65,meantime now next we have Amazon workers,company is only further progress so I'll be holding on to my shares in the meantime now next we have Amazon workers that are striking in seven us facilities ahead of Christmas warehouse workers in,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,05:52,06:03,https://www.youtube.com/watch?v=YkukejOFevY&t=352s,CRM,CRM,Salesforce,holding_update,hold_or_portfolio_holding,0.65,like Salesforce which is down 52%,the past week in the tech category some of the biggest gainers have gone down like Salesforce which is down 52% Microsoft Google and apple are both holding up rather well with apple,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,24:44,24:56,https://www.youtube.com/watch?v=YkukejOFevY&t=1484s,CRM,CRM,Salesforce,sell_or_reduce,sell_or_reduce,0.75,just a normal chatbot and Salesforce is,some skepticism is agent force or agents in general really that different than just a normal chatbot and Salesforce is trying to sell this product saying it can do all of these great things it can,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,01:42,01:54,https://www.youtube.com/watch?v=YkukejOFevY&t=102s,GOOGL,GOOG,Alphabet,buy_or_add,buy_or_add,0.75,other news to get to Google just,this company whether or not this stock is a buy today now of course there's other news to get to Google just released V2 a state-of-the-art image generation they released this,True,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,05:53,06:05,https://www.youtube.com/watch?v=YkukejOFevY&t=353s,GOOGL,GOOG,Alphabet,holding_update,hold_or_portfolio_holding,0.65,Microsoft Google and apple are both,of the biggest gainers have gone down like Salesforce which is down 52% Microsoft Google and apple are both holding up rather well with apple actually in the green over the past week,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,05:53,06:05,https://www.youtube.com/watch?v=YkukejOFevY&t=353s,MSFT,MSFT,Microsoft,holding_update,hold_or_portfolio_holding,0.65,Microsoft Google and apple are both,of the biggest gainers have gone down like Salesforce which is down 52% Microsoft Google and apple are both holding up rather well with apple actually in the green over the past week,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,12:28,12:41,https://www.youtube.com/watch?v=YkukejOFevY&t=748s,NFLX,NFLX,Netflix,buy_or_add,buy_or_add,0.75,companies Netflix being another one he,stock buying it back in 2016 he's applied the same Playbook to many companies Netflix being another one he bought this company on a significant dip after it had already dropped 50% but he,True,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,01:15,01:27,https://www.youtube.com/watch?v=YkukejOFevY&t=75s,NKE,NKE,Nike,sell_or_reduce,sell_or_reduce,0.75,Nike and persing square Capital way back,familiar super investor just bought a large position in Bill Amman used to own Nike and persing square Capital way back in 2017 he sold out of the position back then with a $100 million gain and then,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,14:11,14:24,https://www.youtube.com/watch?v=YkukejOFevY&t=851s,NKE,NKE,Nike,holding_update,hold_or_portfolio_holding,0.65,it also notes that Nike is suffering a,portfolio but double digigit growth in new product signals potential recovery it also notes that Nike is suffering a decline in their Nike digital business their Nike app it's down 20% this is an,False,True
2024-12-19,"The Fed Turns Hawkish: ""We’re Done Cutting""",https://www.youtube.com/watch?v=YkukejOFevY,01:15,01:27,https://www.youtube.com/watch?v=YkukejOFevY&t=75s,SQ,SQ,Block,sell_or_reduce,sell_or_reduce,0.75,Nike and persing square Capital way back,familiar super investor just bought a large position in Bill Amman used to own Nike and persing square Capital way back in 2017 he sold out of the position back then with a $100 million gain and then,False,True
2024-12-31,"I Just Bought $10,000 Of A NEW Stock",https://www.youtube.com/watch?v=JR6fjgIBm2I,02:50,03:04,https://www.youtube.com/watch?v=JR6fjgIBm2I&t=170s,AAPL,AAPL,Apple,sell_or_reduce,sell_or_reduce,0.75,"$5,000 of vichi and $5,000 of Apple we","that I funded this purchase currently is by trimming existing positions I trimmed $5,000 of vichi and $5,000 of Apple we can start start off with the vichi trim this should come as no surprise in my",False,True
2024-12-31,"I Just Bought $10,000 Of A NEW Stock",https://www.youtube.com/watch?v=JR6fjgIBm2I,03:29,03:43,https://www.youtube.com/watch?v=JR6fjgIBm2I&t=209s,AAPL,AAPL,Apple,holding_update,hold_or_portfolio_holding,0.65,increases the overall quality Apple's,from V into asml doesn't dilute or lower the quality of my portfolio I believe it increases the overall quality Apple's another company that has been performing extremely well all year in fact it's,False,True
2024-12-31,"I Just Bought $10,000 Of A NEW Stock",https://www.youtube.com/watch?v=JR6fjgIBm2I,03:44,03:58,https://www.youtube.com/watch?v=JR6fjgIBm2I&t=224s,AAPL,AAPL,Apple,buy_or_add,buy_or_add,0.75,years I first bought my share of Apple,long and I've been an advocate of holding this company for the past s years I first bought my share of Apple in 2017 right at the end of the year then I bought more throughout 2018 and,True,True
2024-12-31,"I Just Bought $10,000 Of A NEW Stock",https://www.youtube.com/watch?v=JR6fjgIBm2I,27:52,28:05,https://www.youtube.com/watch?v=JR6fjgIBm2I&t=1672s,CRM,CRM,Salesforce,holding_update,hold_or_portfolio_holding,0.65,Salesforce they're very Diversified in,Industries asml doesn't have the same type of risk factor as a Google or Salesforce they're very Diversified in Risk so I believe this also strengthens the portfolio overall now there's a,False,True
